Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,=,+,-,*,/,ID,(,),{,},[,],>,<,!,SEP_COMMA,SYM_ADDR,KEY_INT,KEY_FLOAT,KEY_CHAR,KEY_IF,KEY_ELSE,KEY_STRUCT,VALUE_INT,KEY_RETURN,KEY_WHILE,VALUE_FLOAT,VALUE_STRING,VALUE_CHAR,#END,$,Exp,A,B,MS,S,P,VAL_LIST,VAL_LIST_NEXT,DEF_VAL_LIST,DEF_FUNC,TYPE,OP_LOW,OP_HIGH,VAL_LOC,DEF_VALUE,RETURN,BOOL,CMP,OP_CMP,IF_S,ELSEIF_S,ELSE_S,WHILE_S,DEF_STRUCT,DEF_ARRAY,MULT_DEF,DEF_V,FUNC_START
111,,reduce?VAL_LOC?->?VALUE_FLOAT,reduce?VAL_LOC?->?VALUE_FLOAT,reduce?VAL_LOC?->?VALUE_FLOAT,reduce?VAL_LOC?->?VALUE_FLOAT,,,reduce?VAL_LOC?->?VALUE_FLOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,reduce?VAL_LOC?->?VALUE_STRING,reduce?VAL_LOC?->?VALUE_STRING,reduce?VAL_LOC?->?VALUE_STRING,reduce?VAL_LOC?->?VALUE_STRING,,,reduce?VAL_LOC?->?VALUE_STRING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,reduce?VAL_LOC?->?VALUE_CHAR,reduce?VAL_LOC?->?VALUE_CHAR,reduce?VAL_LOC?->?VALUE_CHAR,reduce?VAL_LOC?->?VALUE_CHAR,,,reduce?VAL_LOC?->?VALUE_CHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,reduce?B?->?SYM_ADDR?ID,reduce?B?->?SYM_ADDR?ID,reduce?B?->?SYM_ADDR?ID,reduce?B?->?SYM_ADDR?ID,,,,,,,,,,,,,,,,,,,,,,,,,reduce?B?->?SYM_ADDR?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,shift?152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,shift?9,shift?10,shift?11,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,
117,,,,,,,,reduce?DEF_VAL_LIST?->?TYPE?ID,,,,,,,,reduce?DEF_VAL_LIST?->?TYPE?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,reduce?FUNC_START?->?TYPE?ID?(?)?{,,,,,,,,,,,,reduce?FUNC_START?->?TYPE?ID?(?)?{,reduce?FUNC_START?->?TYPE?ID?(?)?{,reduce?FUNC_START?->?TYPE?ID?(?)?{,reduce?FUNC_START?->?TYPE?ID?(?)?{,,reduce?FUNC_START?->?TYPE?ID?(?)?{,,reduce?FUNC_START?->?TYPE?ID?(?)?{,reduce?FUNC_START?->?TYPE?ID?(?)?{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?DEF_ARRAY?->?TYPE?ID?[?VALUE_INT?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?S?->?ID?(?VAL_LIST?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,shift?155,,,,,,,,,,,,,,,,,,shift?72,,,shift?73,shift?74,shift?75,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,
122,,,,shift?82,,shift?83,shift?84,,,,,,,,,,shift?85,,,,,,,shift?86,,,shift?87,shift?88,shift?89,,,,156,78,,,,,,,,,,,79,,,,,,,,,,,,,,
123,,,,shift?106,,shift?107,shift?108,,,,,,,,,,shift?109,,,,,,,shift?110,,,shift?111,shift?112,shift?113,,,157,103,104,,,,,,,,,,,105,,,,,,,,,,,,,,
124,shift?158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,shift?159,,,reduce?OP_CMP?->?>,,reduce?OP_CMP?->?>,reduce?OP_CMP?->?>,,,,,,,,,,reduce?OP_CMP?->?>,,,,,,,reduce?OP_CMP?->?>,,,reduce?OP_CMP?->?>,reduce?OP_CMP?->?>,reduce?OP_CMP?->?>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,shift?160,,,reduce?OP_CMP?->?<,,reduce?OP_CMP?->?<,reduce?OP_CMP?->?<,,,,,,,,,,reduce?OP_CMP?->?<,,,,,,,reduce?OP_CMP?->?<,,,reduce?OP_CMP?->?<,reduce?OP_CMP?->?<,reduce?OP_CMP?->?<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,shift?161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,shift?82,,shift?83,shift?84,,,,,,,,,,shift?85,,,,,,,shift?86,,,shift?87,shift?88,shift?89,,,,,162,,,,,,,,,,,79,,,,,,,,,,,,,,
129,,,,,,,,,shift?163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,reduce?B?->?*?ID,reduce?B?->?*?ID,reduce?B?->?*?ID,reduce?B?->?*?ID,reduce?B?->?*?ID,,,reduce?B?->?*?ID,,,,,reduce?B?->?*?ID,reduce?B?->?*?ID,reduce?B?->?*?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,shift?70,,,,,,,,,,,,,,,,,,shift?72,,,shift?73,shift?74,shift?75,,,,,,,,,164,,,,,,,69,,,,,,,,,,,,,,
132,,,,,,shift?165,,,,,,,,,,,,,,,,,,shift?166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,shift?94,shift?95,,,,,shift?167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,
134,reduce?B?->?SYM_ADDR?ID,reduce?B?->?SYM_ADDR?ID,reduce?B?->?SYM_ADDR?ID,reduce?B?->?SYM_ADDR?ID,reduce?B?->?SYM_ADDR?ID,,,reduce?B?->?SYM_ADDR?ID,,,,,reduce?B?->?SYM_ADDR?ID,reduce?B?->?SYM_ADDR?ID,reduce?B?->?SYM_ADDR?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,shift?168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shift?169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?DEF_STRUCT?->?KEY_STRUCT?ID?{?MULT_DEF?},,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,reduce?MULT_DEF?->?DEF_V?#END,,,,,,,,reduce?MULT_DEF?->?DEF_V?#END,reduce?MULT_DEF?->?DEF_V?#END,reduce?MULT_DEF?->?DEF_V?#END,,,reduce?MULT_DEF?->?DEF_V?#END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,reduce?Exp?->?Exp?OP_LOW?A,reduce?Exp?->?Exp?OP_LOW?A,shift?97,shift?98,,,,,,,,,,,,,,,,,,,,,,,,,reduce?Exp?->?Exp?OP_LOW?A,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,
140,,reduce?A?->?A?OP_HIGH?B,reduce?A?->?A?OP_HIGH?B,reduce?A?->?A?OP_HIGH?B,reduce?A?->?A?OP_HIGH?B,,,,,,,,,,,,,,,,,,,,,,,,,reduce?A?->?A?OP_HIGH?B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,shift?170,,,,,,,,shift?121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,shift?171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,shift?172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,shift?106,,shift?107,shift?108,,,,,,,,,,shift?109,,,,,,,shift?110,,,shift?111,shift?112,shift?113,,,,173,104,,,,,,,,,,,105,,,,,,,,,,,,,,
145,,reduce?B?->?(?Exp?),reduce?B?->?(?Exp?),reduce?B?->?(?Exp?),reduce?B?->?(?Exp?),,,,,,,,,,,,,,,,,,,,,,,,,reduce?B?->?(?Exp?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,shift?106,,shift?107,shift?108,,,,,,,,,,shift?109,,,,,,,shift?110,,,shift?111,shift?112,shift?113,,,,,174,,,,,,,,,,,105,,,,,,,,,,,,,,
147,,reduce?B?->?*?ID,reduce?B?->?*?ID,reduce?B?->?*?ID,reduce?B?->?*?ID,,,reduce?B?->?*?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,shift?70,,,,,,,,,,,,,,,,,,shift?72,,,shift?73,shift?74,shift?75,,,,,,,,,175,,,,,,,69,,,,,,,,,,,,,,
149,,,,,,shift?176,,,,,,,,,,,,,,,,,,shift?177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,shift?94,shift?95,,,,,shift?178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,
151,,reduce?B?->?SYM_ADDR?ID,reduce?B?->?SYM_ADDR?ID,reduce?B?->?SYM_ADDR?ID,reduce?B?->?SYM_ADDR?ID,,,reduce?B?->?SYM_ADDR?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,reduce?FUNC_START?->?TYPE?ID?(?DEF_VAL_LIST?)?{,,,,,,,,,,,,reduce?FUNC_START?->?TYPE?ID?(?DEF_VAL_LIST?)?{,reduce?FUNC_START?->?TYPE?ID?(?DEF_VAL_LIST?)?{,reduce?FUNC_START?->?TYPE?ID?(?DEF_VAL_LIST?)?{,reduce?FUNC_START?->?TYPE?ID?(?DEF_VAL_LIST?)?{,,reduce?FUNC_START?->?TYPE?ID?(?DEF_VAL_LIST?)?{,,reduce?FUNC_START?->?TYPE?ID?(?DEF_VAL_LIST?)?{,reduce?FUNC_START?->?TYPE?ID?(?DEF_VAL_LIST?)?{,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,shift?179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,reduce?VAL_LIST?->?VAL_LIST?SEP_COMMA?VAL_LOC,,,,,,,,reduce?VAL_LIST?->?VAL_LIST?SEP_COMMA?VAL_LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,reduce?VAL_LIST?->?VAL_LIST?SEP_COMMA?ID,,,,,,,,reduce?VAL_LIST?->?VAL_LIST?SEP_COMMA?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,reduce?Exp?->?Exp?OP_LOW?A,reduce?Exp?->?Exp?OP_LOW?A,reduce?Exp?->?Exp?OP_LOW?A,shift?97,shift?98,,,reduce?Exp?->?Exp?OP_LOW?A,,,,,reduce?Exp?->?Exp?OP_LOW?A,reduce?Exp?->?Exp?OP_LOW?A,reduce?Exp?->?Exp?OP_LOW?A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,
157,,shift?94,shift?95,,,,,reduce?CMP?->?Exp?OP_CMP?Exp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,
158,,,,reduce?OP_CMP?->?=?=,,reduce?OP_CMP?->?=?=,reduce?OP_CMP?->?=?=,,,,,,,,,,reduce?OP_CMP?->?=?=,,,,,,,reduce?OP_CMP?->?=?=,,,reduce?OP_CMP?->?=?=,reduce?OP_CMP?->?=?=,reduce?OP_CMP?->?=?=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,reduce?OP_CMP?->?>?=,,reduce?OP_CMP?->?>?=,reduce?OP_CMP?->?>?=,,,,,,,,,,reduce?OP_CMP?->?>?=,,,,,,,reduce?OP_CMP?->?>?=,,,reduce?OP_CMP?->?>?=,reduce?OP_CMP?->?>?=,reduce?OP_CMP?->?>?=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,reduce?OP_CMP?->?<?=,,reduce?OP_CMP?->?<?=,reduce?OP_CMP?->?<?=,,,,,,,,,,reduce?OP_CMP?->?<?=,,,,,,,reduce?OP_CMP?->?<?=,,,reduce?OP_CMP?->?<?=,reduce?OP_CMP?->?<?=,reduce?OP_CMP?->?<?=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,reduce?OP_CMP?->?!?=,,reduce?OP_CMP?->?!?=,reduce?OP_CMP?->?!?=,,,,,,,,,,reduce?OP_CMP?->?!?=,,,,,,,reduce?OP_CMP?->?!?=,,,reduce?OP_CMP?->?!?=,reduce?OP_CMP?->?!?=,reduce?OP_CMP?->?!?=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,reduce?A?->?A?OP_HIGH?B,reduce?A?->?A?OP_HIGH?B,reduce?A?->?A?OP_HIGH?B,reduce?A?->?A?OP_HIGH?B,reduce?A?->?A?OP_HIGH?B,,,reduce?A?->?A?OP_HIGH?B,,,,,reduce?A?->?A?OP_HIGH?B,reduce?A?->?A?OP_HIGH?B,reduce?A?->?A?OP_HIGH?B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,shift?24,,,,,,,,,,,,shift?9,shift?10,shift?11,shift?25,,shift?12,,shift?26,shift?27,,,,,,,,,180,18,,,,,,19,,,,4,20,,,,21,,,22,5,6,,23,
164,,,,,,,,shift?181,,,,,,,,shift?121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,shift?182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,shift?183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,reduce?B?->?(?Exp?),reduce?B?->?(?Exp?),reduce?B?->?(?Exp?),reduce?B?->?(?Exp?),reduce?B?->?(?Exp?),,,reduce?B?->?(?Exp?),,,,,reduce?B?->?(?Exp?),reduce?B?->?(?Exp?),reduce?B?->?(?Exp?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,shift?24,,,,,,,,,,,,shift?9,shift?10,shift?11,shift?25,,shift?12,,shift?26,shift?27,,,,,,,,,184,18,,,,,,19,,,,4,20,,,,21,,,22,5,6,,23,
169,,,,,,,,,,reduce?MULT_DEF?->?MULT_DEF?DEF_V?#END,,,,,,,,reduce?MULT_DEF?->?MULT_DEF?DEF_V?#END,reduce?MULT_DEF?->?MULT_DEF?DEF_V?#END,reduce?MULT_DEF?->?MULT_DEF?DEF_V?#END,,,reduce?MULT_DEF?->?MULT_DEF?DEF_V?#END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,reduce?B?->?ID?(?VAL_LIST?),reduce?B?->?ID?(?VAL_LIST?),reduce?B?->?ID?(?VAL_LIST?),reduce?B?->?ID?(?VAL_LIST?),,,,,,,,,,,,,,,,,,,,,,,,,reduce?B?->?ID?(?VAL_LIST?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,reduce?B?->?ID?[?ID?],reduce?B?->?ID?[?ID?],reduce?B?->?ID?[?ID?],reduce?B?->?ID?[?ID?],,,,,,,,,,,,,,,,,,,,,,,,,reduce?B?->?ID?[?ID?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,reduce?B?->?ID?[?VALUE_INT?],reduce?B?->?ID?[?VALUE_INT?],reduce?B?->?ID?[?VALUE_INT?],reduce?B?->?ID?[?VALUE_INT?],,,,,,,,,,,,,,,,,,,,,,,,,reduce?B?->?ID?[?VALUE_INT?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,reduce?Exp?->?Exp?OP_LOW?A,reduce?Exp?->?Exp?OP_LOW?A,shift?97,shift?98,,,reduce?Exp?->?Exp?OP_LOW?A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,
174,,reduce?A?->?A?OP_HIGH?B,reduce?A?->?A?OP_HIGH?B,reduce?A?->?A?OP_HIGH?B,reduce?A?->?A?OP_HIGH?B,,,reduce?A?->?A?OP_HIGH?B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,shift?185,,,,,,,,shift?121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,shift?186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,shift?187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,reduce?B?->?(?Exp?),reduce?B?->?(?Exp?),reduce?B?->?(?Exp?),reduce?B?->?(?Exp?),,,reduce?B?->?(?Exp?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,reduce?DEF_VAL_LIST?->?DEF_VAL_LIST?SEP_COMMA?TYPE?ID,,,,,,,,reduce?DEF_VAL_LIST?->?DEF_VAL_LIST?SEP_COMMA?TYPE?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,shift?188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,reduce?B?->?ID?(?VAL_LIST?),reduce?B?->?ID?(?VAL_LIST?),reduce?B?->?ID?(?VAL_LIST?),reduce?B?->?ID?(?VAL_LIST?),reduce?B?->?ID?(?VAL_LIST?),,,reduce?B?->?ID?(?VAL_LIST?),,,,,reduce?B?->?ID?(?VAL_LIST?),reduce?B?->?ID?(?VAL_LIST?),reduce?B?->?ID?(?VAL_LIST?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,reduce?B?->?ID?[?ID?],reduce?B?->?ID?[?ID?],reduce?B?->?ID?[?ID?],reduce?B?->?ID?[?ID?],reduce?B?->?ID?[?ID?],,,reduce?B?->?ID?[?ID?],,,,,reduce?B?->?ID?[?ID?],reduce?B?->?ID?[?ID?],reduce?B?->?ID?[?ID?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,reduce?B?->?ID?[?VALUE_INT?],reduce?B?->?ID?[?VALUE_INT?],reduce?B?->?ID?[?VALUE_INT?],reduce?B?->?ID?[?VALUE_INT?],reduce?B?->?ID?[?VALUE_INT?],,,reduce?B?->?ID?[?VALUE_INT?],,,,,reduce?B?->?ID?[?VALUE_INT?],reduce?B?->?ID?[?VALUE_INT?],reduce?B?->?ID?[?VALUE_INT?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,shift?189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,reduce?B?->?ID?(?VAL_LIST?),reduce?B?->?ID?(?VAL_LIST?),reduce?B?->?ID?(?VAL_LIST?),reduce?B?->?ID?(?VAL_LIST?),,,reduce?B?->?ID?(?VAL_LIST?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,reduce?B?->?ID?[?ID?],reduce?B?->?ID?[?ID?],reduce?B?->?ID?[?ID?],reduce?B?->?ID?[?ID?],,,reduce?B?->?ID?[?ID?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,reduce?B?->?ID?[?VALUE_INT?],reduce?B?->?ID?[?VALUE_INT?],reduce?B?->?ID?[?VALUE_INT?],reduce?B?->?ID?[?VALUE_INT?],,,reduce?B?->?ID?[?VALUE_INT?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,reduce?IF_S?->?KEY_IF?(?BOOL?)?{?MS?},,,,,,,,,,,,shift?192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,191,,,,,,
189,,,,,,,,,,reduce?WHILE_S?->?KEY_WHILE?(?BOOL?)?{?MS?},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,shift?194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,
191,,,,,,,,,,reduce?IF_S?->?KEY_IF?(?BOOL?)?{?MS?}?ELSE_S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,shift?195,,,,,,,,,,,,shift?196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,reduce?IF_S?->?KEY_IF?(?BOOL?)?{?MS?}?ELSEIF_S?ELSE_S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,shift?195,,,,,,,,,,,,shift?197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,shift?24,,,,,,,,,,,,shift?9,shift?10,shift?11,shift?25,,shift?12,,shift?26,shift?27,,,,,,,,,198,18,,,,,,19,,,,4,20,,,,21,,,22,5,6,,23,
196,,,,,,,shift?199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,shift?200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,shift?201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,shift?82,,shift?83,shift?84,,,,,,,,,,shift?85,,,,,,,shift?86,,,shift?87,shift?88,shift?89,,,76,77,78,,,,,,,,,,,79,,,202,81,,,,,,,,,,
200,,,,shift?82,,shift?83,shift?84,,,,,,,,,,shift?85,,,,,,,shift?86,,,shift?87,shift?88,shift?89,,,76,77,78,,,,,,,,,,,79,,,203,81,,,,,,,,,,
201,,,,,,,,,,reduce?ELSE_S?->?KEY_ELSE?{?MS?},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,shift?204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,shift?205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,shift?206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,shift?207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,shift?24,,,,,,,,,,,,shift?9,shift?10,shift?11,shift?25,,shift?12,,shift?26,shift?27,,,,,,,,,208,18,,,,,,19,,,,4,20,,,,21,,,22,5,6,,23,
207,,,,,,shift?24,,,,,,,,,,,,shift?9,shift?10,shift?11,shift?25,,shift?12,,shift?26,shift?27,,,,,,,,,209,18,,,,,,19,,,,4,20,,,,21,,,22,5,6,,23,
208,,,,,,,,,,shift?210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,shift?211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,reduce?ELSEIF_S?->?KEY_ELSE?KEY_IF?(?BOOL?)?{?MS?},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,reduce?ELSEIF_S?->?ELSEIF_S?KEY_ELSE?KEY_IF?(?BOOL?)?{?MS?},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
