Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,=,+,-,*,/,ID,(,),{,},[,],>,<,!,SEP_COMMA,SYM_ADDR,KEY_INT,KEY_FLOAT,KEY_CHAR,KEY_IF,KEY_ELSE,KEY_STRUCT,VALUE_INT,KEY_RETURN,KEY_WHILE,VALUE_FLOAT,VALUE_STRING,VALUE_CHAR,#END,$,Exp,A,B,MS,S,P,VAL_LIST,VAL_LIST_NEXT,DEF_VAL_LIST,DEF_FUNC,TYPE,OP_LOW,OP_HIGH,VAL_LOC,DEF_VALUE,RETURN,BOOL,CMP,OP_CMP,IF_S,ELSEIF_S,ELSE_S,WHILE_S,DEF_STRUCT,DEF_ARRAY,MULT_DEF,DEF_V,FUNC_START
33,,,,shift?54,,shift?55,shift?56,,,,,,,,,,shift?57,,,,,,,shift?58,,,shift?59,shift?60,shift?61,,,50,51,52,,,,,,,,,,,53,,,,,,,,,,,,,,
34,,,,,,,,shift?64,,,,,,,,,,shift?9,shift?10,shift?11,,,,,,,,,,,,,,,,,,,,62,,63,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,shift?65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,reduce?DEF_FUNC?->?FUNC_START?MS?},reduce?DEF_FUNC?->?FUNC_START?MS?},reduce?DEF_FUNC?->?FUNC_START?MS?},,,reduce?DEF_FUNC?->?FUNC_START?MS?},,,,,,,,reduce?DEF_FUNC?->?FUNC_START?MS?},,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,shift?24,,,,reduce?MS?->?S?#END,,,,,,,,shift?9,shift?10,shift?11,shift?25,,shift?12,,shift?26,shift?27,,,,,,,,,66,18,,,,,,19,,,,4,20,,,,21,,,22,5,6,,23,
38,shift?33,,,,,,,,,,shift?35,,,,,,,,,,,,,,,,,,,reduce?DEF_VALUE?->?TYPE?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,shift?54,,shift?55,shift?56,,,,,,,,,,shift?57,,,,,,,shift?58,,,shift?59,shift?60,shift?61,,,67,51,52,,,,,,,,,,,53,,,,,,,,,,,,,,
40,,,,,,shift?70,,shift?71,,,,,,,,,,,,,,,,shift?72,,,shift?73,shift?74,shift?75,,,,,,,,,68,,,,,,,69,,,,,,,,,,,,,,
41,,,,shift?82,,shift?83,shift?84,,,,,,,,,,shift?85,,,,,,,shift?86,,,shift?87,shift?88,shift?89,,,76,77,78,,,,,,,,,,,79,,,80,81,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?RETURN?->?KEY_RETURN?VAL_LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?RETURN?->?KEY_RETURN?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?VAL_LOC?->?VALUE_INT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?VAL_LOC?->?VALUE_FLOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?VAL_LOC?->?VALUE_STRING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?VAL_LOC?->?VALUE_CHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,shift?82,,shift?83,shift?84,,,,,,,,,,shift?85,,,,,,,shift?86,,,shift?87,shift?88,shift?89,,,76,77,78,,,,,,,,,,,79,,,90,81,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,shift?9,shift?10,shift?11,,,shift?12,,,,,,,,,,,,,,,,,,,19,,,,4,,,,,,,,,5,6,91,92,
50,,shift?94,shift?95,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?DEF_VALUE?->?TYPE?ID?=?Exp,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,
51,,reduce?Exp?->?A,reduce?Exp?->?A,shift?97,shift?98,,,,,,,,,,,,,,,,,,,,,,,,,reduce?Exp?->?A,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,
52,,reduce?A?->?B,reduce?A?->?B,reduce?A?->?B,reduce?A?->?B,,,,,,,,,,,,,,,,,,,,,,,,,reduce?A?->?B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,reduce?B?->?VAL_LOC,reduce?B?->?VAL_LOC,reduce?B?->?VAL_LOC,reduce?B?->?VAL_LOC,,,,,,,,,,,,,,,,,,,,,,,,,reduce?B?->?VAL_LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,shift?99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,reduce?B?->?ID,reduce?B?->?ID,reduce?B?->?ID,reduce?B?->?ID,,shift?100,,,,shift?101,,,,,,,,,,,,,,,,,,,reduce?B?->?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,shift?106,,shift?107,shift?108,,,,,,,,,,shift?109,,,,,,,shift?110,,,shift?111,shift?112,shift?113,,,102,103,104,,,,,,,,,,,105,,,,,,,,,,,,,,
57,,,,,,shift?114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,reduce?VAL_LOC?->?VALUE_INT,reduce?VAL_LOC?->?VALUE_INT,reduce?VAL_LOC?->?VALUE_INT,reduce?VAL_LOC?->?VALUE_INT,,,,,,,,,,,,,,,,,,,,,,,,,reduce?VAL_LOC?->?VALUE_INT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,reduce?VAL_LOC?->?VALUE_FLOAT,reduce?VAL_LOC?->?VALUE_FLOAT,reduce?VAL_LOC?->?VALUE_FLOAT,reduce?VAL_LOC?->?VALUE_FLOAT,,,,,,,,,,,,,,,,,,,,,,,,,reduce?VAL_LOC?->?VALUE_FLOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,reduce?VAL_LOC?->?VALUE_STRING,reduce?VAL_LOC?->?VALUE_STRING,reduce?VAL_LOC?->?VALUE_STRING,reduce?VAL_LOC?->?VALUE_STRING,,,,,,,,,,,,,,,,,,,,,,,,,reduce?VAL_LOC?->?VALUE_STRING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,reduce?VAL_LOC?->?VALUE_CHAR,reduce?VAL_LOC?->?VALUE_CHAR,reduce?VAL_LOC?->?VALUE_CHAR,reduce?VAL_LOC?->?VALUE_CHAR,,,,,,,,,,,,,,,,,,,,,,,,,reduce?VAL_LOC?->?VALUE_CHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,shift?115,,,,,,,,shift?116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,shift?117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,shift?118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,shift?119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,reduce?MS?->?S?#END?MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,shift?94,shift?95,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?S?->?ID?=?Exp,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,
68,,,,,,,,shift?120,,,,,,,,shift?121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,reduce?VAL_LIST?->?VAL_LOC,,,,,,,,reduce?VAL_LIST?->?VAL_LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,reduce?VAL_LIST?->?ID,,,,,,,,reduce?VAL_LIST?->?ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reduce?S?->?ID?(?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,reduce?VAL_LOC?->?VALUE_INT,,,,,,,,reduce?VAL_LOC?->?VALUE_INT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
